customer_id,customer_name,email,phone,city,state,pincode,customer_segment,registration_date
10001,Customer_10001,customer10001@example.com,9634895718,Mumbai,Punjab,484096,Consumer,2023-01-18
10002,Customer_10002,customer10002@example.com,9299900595,Chennai,West Bengal,484096,Consumer,2022-01-17
10003,Customer_10003,customer10003@example.com,9962061404,Kochi,Delhi,484096,Consumer,2023-05-08
10004,Customer_10004,customer10004@example.com,9887846414,Ahmedabad,Haryana,484096,Home Office,2025-09-16
10005,Customer_10005,customer10005@example.com,9227521863,Gurugram,Rajasthan,484096,Consumer,2024-07-14
10006,Customer_10006,customer10006@example.com,9523734972,Hyderabad,Telangana,484096,Corporate,2026-02-18
10007,Customer_10007,customer10007@example.com,9515968276,Kochi,Tamil Nadu,484096,Consumer,2025-11-30
10008,Customer_10008,customer10008@example.com,9770094950,Ahmedabad,Punjab,484096,Home Office,2022-04-27
10009,Customer_10009,customer10009@example.com,9941095289,Mumbai,Telangana,484096,Consumer,2026-04-28
10010,Customer_10010,customer10010@example.com,9769991378,Ahmedabad,Uttar Pradesh,484096,Corporate,2024-05-29
10011,Customer_10011,customer10011@example.com,9529389014,Kochi,Rajasthan,484096,Consumer,2022-04-25
10012,Customer_10012,customer10012@example.com,9349467210,Bengaluru,Kerala,484096,Consumer,2026-04-22
10013,Customer_10013,customer10013@example.com,9998717130,Ludhiana,Kerala,484096,Consumer,2024-03-24
10014,Customer_10014,customer10014@example.com,9598972759,Lucknow,Rajasthan,484096,Consumer,2026-07-07
10015,Customer_10015,customer10015@example.com,9459525748,Chennai,Tamil Nadu,484096,Home Office,2026-04-20
10016,Customer_10016,customer10016@example.com,9534285667,Mumbai,Gujarat,484096,Home Office,2023-10-06
10017,Customer_10017,customer10017@example.com,9713608295,Kochi,Telangana,484096,Home Office,2025-09-21
10018,Customer_10018,customer10018@example.com,9993664919,Ludhiana,Maharashtra,484096,Consumer,2022-12-02
10019,Customer_10019,customer10019@example.com,9748061058,Ludhiana,West Bengal,484096,Corporate,2024-07-10
10020,Customer_10020,customer10020@example.com,9188409749,Ahmedabad,Punjab,484096,Consumer,2022-05-27
10021,Customer_10021,customer10021@example.com,9342285876,Lucknow,Gujarat,484096,Consumer,2022-05-02
10022,Customer_10022,customer10022@example.com,9454088427,Ludhiana,Maharashtra,484096,Consumer,2022-03-22
10023,Customer_10023,customer10023@example.com,9909827741,Lucknow,Haryana,484096,Consumer,2023-11-16
10024,Customer_10024,customer10024@example.com,9103344769,Ahmedabad,Punjab,484096,Consumer,2026-08-17
10025,Customer_10025,customer10025@example.com,9880932287,Kochi,Punjab,484096,Consumer,2023-10-24
10026,Customer_10026,customer10026@example.com,9887716372,Hyderabad,Kerala,484096,Consumer,2023-01-10
10027,Customer_10027,customer10027@example.com,9604579232,Bengaluru,Tamil Nadu,484096,Corporate,2026-05-13
